DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY,N0_Votes,POSITION,criminal_case,education,total_assest,liabilities,Target
Muzaffarnagar,BUDHANA,GEN,UMESH MALIK,M,GEN,51,BJP,97781,1,6,Graduate,17353868,4093085,1
Kheri,PALIA,GEN,HARVINDER KUMAR SAHANI,M,GEN,52,BJP,118069,1,0,Graduate,145582676,44890200,1
Lucknow,MALIHABAD,SC,JAI DEVI,F,SC,52,BJP,94677,1,0,Illiterate,45965214,0,1
Firozabad,FIROZABAD,GEN,MANISH ASIJA,M,GEN,52,BJP,102654,1,6,Graduate,72671267,7393142,1
Kushinagar,HATA,GEN,PAWAN KUMAR,M,GEN,52,BJP,103864,1,1,Graduate,5674000,4550,1
Allahabad,KORAON,SC,RAJMANI KOL,M,SC,52,BJP,100427,1,0,Post Graduate,734402,60000,1
Sitapur,SITAPUR,GEN,RAKESH,M,GEN,52,BJP,98850,1,0,Literate,6562,0,1
Rae Bareli,BACHHRAWAN,SC,RAM NARESH RAWAT,M,SC,52,BJP,65324,1,0,Post Graduate,26302531,4749720,1
Shahjahanpur,TILHAR,GEN,ROSHAN LAL VERMA,M,GEN,52,BJP,81770,1,1,Literate,24983350,1644797,1
Jaunpur,SHAHGANJ,GEN,SHAILENDRA YADAV LALAI,M,GEN,52,SP,67818,1,7,Graduate,157401859,0,1
Barabanki,RAM NAGAR,GEN,SHARAD KUMAR AWASTHI,M,GEN,52,BJP,88937,1,0,Post Graduate,29141248,2135019,1
Bulandsahar,SHIKARPUR,GEN,ANIL KUMAR,M,GEN,53,BJP,101912,1,0,12th Pass,106949363,6.00E+05,1
Sant Ravidas Nagar,AURAI,SC,DINANATH BHASHKAR,M,SC,53,BJP,83325,1,0,Post Graduate,66891470,7950000,1
Muzaffarnagar,MUZAFFAR NAGAR,GEN,KAPIL DEV AGARWAL,M,GEN,53,BJP,97838,1,0,Graduate,14597109,4365284,1
Fatehpur,KHAGA,SC,KRISHNA PASWAN,F,SC,53,BJP,94954,1,1,Literate,17041156,2242867,1
Sitapur,MOHMOODABAD,GEN,NARENDRA SINGH VERMA,M,GEN,53,SP,81469,1,0,Graduate,58490971,0,1
Saharanpur,BEHAT,GEN,NARESH SAINI,M,GEN,53,INC,97035,1,0,Post Graduate,10780291,398000,1
Chandauli,SAKALDIHA,GEN,PRABHUNARAYAN YADAV,M,GEN,53,SP,79875,1,6,Graduate,14048917,2540000,1
Budaun,DATAGANJ,GEN,RAJEEV KUMAR SINGH URF BABBU BHAIYA,M,GEN,53,BJP,79110,1,0,Post Graduate,144506865,26419815,1
Auraiya,AURAIYA,SC,RAMESH CHANDRA,M,SC,53,BJP,83580,1,0,Post Graduate,50699000,0,1
Fatehpur,HUSAINGANJ,GEN,RANVENDRA PRATAP SINGH,M,GEN,53,BJP,73595,1,0,12th Pass,37599236,7429653,1
Aligarh,CHHARRA,GEN,RAVENDRA PAL SINGH,M,GEN,53,BJP,110738,1,0,Literate,29545575,0,1
Baghpat,CHHAPRAULI,GEN,SAHENDER SINGH RAMALA,M,GEN,53,OTHERS,65124,1,0,12th Pass,380496393,27989390,1
Mau,MUHAMMADABAD-GOHNA,GEN,SHRIRAM SONKAR,M,SC,53,BJP,73493,1,1,12th Pass,11975000,150000,1
Allahabad,ALLAHABAD WEST,GEN,SIDHARTH NATH SINGH,M,GEN,53,BJP,85518,1,0,Graduate,220677358,93172910,1
Kanpur Nagar,KANPUR CANTT.,GEN,SOHIL AKHTAR ANSARI,M,GEN,53,INC,81169,1,0,Literate,21244761,0,1
Ghazipur,SAIDPUR,SC,SUBHASH PASSI,M,SC,53,SP,76664,1,0,Literate,408225865,71500000,1
Gonda,COLONELGANJ,GEN,AJAY PRATAP SINGH,M,GEN,54,BJP,82867,1,1,12th Pass,490562192,1.50E+07,1
PILIBHIT,PURANPUR,SC,BABU RAM,M,SC,54,BJP,128493,1,4,Graduate,4373780,1.00E+06,1
Bareilly,BAHERI,GEN,CHHATRA PAL SINGH,M,GEN,54,BJP,108846,1,0,Post Graduate,12926518,516619,1
Sultanpur,LAMBHUA,GEN,DEOMANI DWIVEDI,M,GEN,54,BJP,78627,1,0,Post Graduate,13949503,1742927,1
Jhansi,GARAUTHA,GEN,JAWAHAR LAL RAJPOOT,M,GEN,54,BJP,93378,1,1,Graduate,12016878,771050,1
Varanasi,AJAGARA,SC,KAILASH NATH SONKAR,M,SC,54,OTHERS,83778,1,0,12th Pass,84692864,2690000,1
Kheri,MOHAMMDI,GEN,LOKENDRA PRATAP SINGH,M,GEN,54,BJP,93000,1,0,Graduate,22655443,1600000,1
Saharanpur,SAHARANPUR,GEN,MASOOD AKHTAR,M,GEN,54,INC,87689,1,0,Graduate,71346632,4992000,1
Hardoi,SANDI,SC,PRABHASH KUMAR,M,SC,54,BJP,72044,1,0,12th Pass,28220000,0,1
Maharajganj,SISWA,GEN,PREM SAGAR PATEL,M,GEN,54,BJP,122884,1,0,Graduate,13370173,850000,1
Sitapur,MISRIKH,SC,RAM KRISHNA BHARGAWA,M,SC,54,BJP,86403,1,0,12th Pass,18498629,1250000,1
Ghaziabad,SAHIBABAD,GEN,SUNIL KUMAR SHARMA,M,GEN,54,BJP,262741,1,2,Post Graduate,10401609,1625431,1
Kannauj,KANNAUJ,SC,ANIL KUMAR DOHARE,M,SC,55,SP,99635,1,0,Graduate,20247603,5800000,1
Jhansi,MAURANIPUR,SC,BIHARI LAL,M,SC,55,BJP,98905,1,0,Graduate,6824054,0,1
Bulandsahar,SYANA,GEN,DEVENDRA,M,GEN,55,BJP,125854,1,0,Graduate,35242056,2419000,1
Kasganj,AMANPUR,GEN,DEVENDRA PRATAP,M,GEN,55,BJP,85199,1,0,12th Pass,14389000,4.00E+05,1
Ghaziabad,MODI NAGAR,GEN,DR. MANJU SHIWACH,F,GEN,55,BJP,108631,1,0,Graduate,131424096,11178392,1
Jaunpur,ZAFRABAD,GEN,HARENDRA,M,GEN,55,BJP,85989,1,2,Graduate,56397169,1519292,1
PILIBHIT,BARKHERA,GEN,KISHAN LAL RAJPOOT,M,GEN,55,BJP,104595,1,0,12th Pass,1588332,0,1
Jalaun,MADHAUGARH,GEN,MOOLCHANDRA SINGH,M,GEN,55,BJP,108737,1,0,Post Graduate,8066280,257474,1
Meerut,MEERUT,GEN,RAFIQ ANSARI,M,GEN,55,SP,103217,1,0,Literate,7261596,0,1
Lalitpur,LALITPUR,GEN,RAMRATAN KUSHWAHA,M,GEN,55,BJP,156942,1,0,Graduate,17006575,642923,1
Aligarh,ALIGARH,GEN,SANJEEV RAJA,M,GEN,55,BJP,113752,1,5,Graduate,5662520,0,1
Baharaich,NANPARA,GEN,SMT MADHURI VERMA,F,GEN,55,BJP,86312,1,0,Literate,21152761,582832,1
Ballia,BAIRIA,GEN,SURENDRA,M,GEN,55,BJP,64868,1,8,Post Graduate,7232825,50000,1
Kannauj,CHHIBRAMAU,GEN,ARCHANA PANDEY,F,GEN,56,BJP,112209,1,0,Post Graduate,30842565,46115,1
Lucknow,LUCKNOW EAST,GEN,ASHUTOSH TANDAN,M,GEN,56,BJP,135167,1,1,Graduate,59722374,0,1
Shahjahanpur,POWAYAN,SC,CHET RAM,M,SC,56,BJP,126635,1,0,Graduate,13015732,0,1
Jaunpur,KERAKAT,SC,DINESH CHAUDHARY,M,SC,56,BJP,84078,1,0,12th Pass,40832249,8050000,1
Baghpat,BARAUT,GEN,KRISHANPAL MALIK URF KRISHANPAL MALIK,M,GEN,56,BJP,79427,1,1,Literate,119373055,15843747,1
Kaushambi,MANJHANPUR,SC,LAL BAHADUR,M,SC,56,BJP,92818,1,0,Post Graduate,15128263,5192000,1
Kanpur Dehat,AKBARPUR-RANIYA,GEN,PRATIBHA SHUKLA,F,GEN,56,BJP,87430,1,0,Post Graduate,47637179,4320289,1
Agra,BAH,GEN,RANI PAKSHALIKA SINGH,F,GEN,56,BJP,80567,1,0,Graduate,582998813,2817351,1
Sant Ravidas Nagar,BHADOHI,GEN,RAVINDRA NATH TRIPATHI,M,GEN,56,BJP,79519,1,0,Graduate,35436104,0,1
Barabanki,KURSI,GEN,SAKENDRA PRATAP VERMA,M,GEN,56,BJP,108403,1,0,Post Graduate,5557037,5.00E+05,1
Kanpur Nagar,MAHARAJPUR,GEN,SATISH MAHANA,M,GEN,56,BJP,132394,1,1,Graduate,200840592,3819203,1
Firozabad,TUNDLA,SC,SATYAPAL SINGH BAGHEL,M,SC,56,BJP,118584,1,7,Doctorate,34668212,0,1
Bijnor,NAJIBABAD,GEN,TASLEEM AHMAD,M,GEN,56,SP,81082,1,0,Literate,11411983,1399252,1
Ghazipur,MOHAMMADABAD,GEN,ALKA RAI,F,GEN,57,BJP,122156,1,0,12th Pass,51411096,661808,1
Bijnor,DHAMPUR,GEN,ASHOK KUMAR RANA,M,GEN,57,BJP,82169,1,8,12th Pass,62753223,11038871,1
Rampur,BILASPUR,GEN,BALDEV SINGH AULAKH,M,GEN,57,BJP,99100,1,0,Post Graduate,19861454,3045142,1
Bulandsahar,SIKANDRABAD,GEN,BIMLA SINGH SOLANKI,F,GEN,57,BJP,104956,1,0,12th Pass,165308204,6272037,1
Barabanki,BARABANKI,GEN,DHARMRAJ SINGH YADAV URF SURESH YADAV,M,GEN,57,SP,99453,1,0,Graduate,16076468,0,1
Balrampur,TULSIPUR,GEN,KAILASH NATH,M,GEN,57,BJP,62296,1,0,Graduate,10107707,0,1
Kanpur Nagar,GHATAMPUR,SC,KAMAL RANI,F,SC,57,BJP,92776,1,0,Post Graduate,10305281,0,1
Mau,MAU,GEN,MUKHTAR ANSARI,M,GEN,57,BSP,96793,1,16,Graduate,218857273,69140786,1
Chitrakoot,MANIKPUR,GEN,R.K. SINGH PATEL,M,GEN,57,BJP,84988,1,2,Graduate,49919479,742734,1
Faizabad,BIKAPUR,GEN,SHOBHA SINGH CHAUHAN,F,GEN,57,BJP,94074,1,0,Literate,16468986,0,1
Hardoi,GOPAMAU,SC,SHYAM PRAKASH,M,SC,57,BJP,87871,1,0,Graduate,20894951,11700000,1
Hathras,SIKANDRA RAO,GEN,BIRENDRA SINGH RANA,M,GEN,58,BJP,76129,1,0,12th Pass,98031106,2530842,1
Mau,MADHUBAN,GEN,DARA SINGH CHAUHAN,M,GEN,58,BJP,86238,1,2,Literate,27571500,1120000,1
Moradabad,MORADABAD RURAL,GEN,HAJI IKRAM QURESHI,M,GEN,58,SP,97916,1,2,Literate,8802145,0,1
Firozabad,SIRSAGANJ,GEN,HARIOM YADAV,M,GEN,58,SP,90281,1,7,Graduate,55205913,1200000,1
Moradabad,THAKURDWARA,GEN,NAVAB JAN,M,GEN,58,SP,107865,1,0,Literate,19685704,0,1
Gonda,TARABGANJ,GEN,PREM NARAYAN PANDEY,M,GEN,58,BJP,100294,1,1,12th Pass,5904554,1047657,1
Moradabad,KANTH,GEN,RAJESH KUMAR SINGH (CHUNNU),M,GEN,58,BJP,76307,1,0,12th Pass,72357520,3800000,1
Kushinagar,KUSHINAGAR,GEN,RAJNIKANT MANI TRIPATHI,M,GEN,58,BJP,97132,1,0,Post Graduate,2262504,0,1
Hardoi,BALAMAU,SC,RAM PAL VERMA,M,SC,58,BJP,74917,1,1,Post Graduate,38152058,174547,1
Mirzapur,MIRZAPUR,GEN,RATNAKAR MISHR,M,GEN,58,BJP,109196,1,0,Illiterate,52328714,818939,1
Chandauli,CHAKIA,SC,SHARADA PRASAD,M,SC,58,BJP,96890,1,1,Literate,6171000,0,1
Baharaich,MAHASI,GEN,SURESHWAR SINGH,M,GEN,58,BJP,104654,1,6,12th Pass,16346286,1286438,1
Ghaziabad,GHAZIABAD,GEN,ATUL GARG,M,GEN,59,BJP,124201,1,0,Graduate,22432102,0,1
Gonda,KATRA BAZAR,GEN,BAWAN SINGH,M,GEN,59,BJP,92095,1,0,Graduate,32488662,1101641,1
Maharajganj,PANIYRA,GEN,GYANENDRA,M,GEN,59,BJP,119308,1,0,Literate,8862485,8.00E+05,1
Deoria,RUDRAPUR,GEN,JAI PRAKASH NISHAD,M,GEN,59,BJP,77754,1,0,Graduate,10989731,520933,1
Budaun,BADAUN,GEN,MAHESH CHANDRA GUPTA,M,GEN,59,BJP,87314,1,0,Literate,29040728,1069161,1
Farrukhabad,BHOJPUR,GEN,NAGENDRA SINGH RATHORE,M,GEN,59,BJP,93673,1,0,Graduate,13215957,0,1
Aligarh,IGLAS,SC,RAJVEER DILER,M,SC,59,BJP,128000,1,0,Literate,10179404,0,1
Hathras,SADABAD,GEN,RAMVEER UPADHYAY,M,GEN,59,BSP,91365,1,0,Graduate,103926349,22975834,1
Saharanpur,SAHARANPUR NAGAR,GEN,SANJAY GARG,M,GEN,59,SP,127210,1,0,Graduate,74937760,3306700,1
Etah,ALIGANJ,GEN,SATYAPAL SINGH RATHAUR,M,GEN,59,BJP,88695,1,0,Literate,14270061,2490045,1
Sant Kabir Nagar,DHANGHATA,SC,SHRI RAM CHAUHAN,M,SC,59,BJP,79572,1,1,Post Graduate,11195708,76000,1
Kheri,GOLA GOKRANNATH,GEN,ARVIND GIRI,M,GEN,60,BJP,122497,1,8,Graduate,31322571,3088157,1
Muzaffarnagar,MEERAPUR,GEN,AVTAR SINGH BHADANA,M,GEN,60,BJP,69035,1,1,Literate,120409690,0,1
Saharanpur,NAKUR,GEN,DR.DHARAM SINGH SAINI,M,GEN,60,BJP,94375,1,0,Graduate,65599100,13797000,1
Hathras,HATHRAS,SC,HARI SHANKAR MAHOR,M,SC,60,BJP,133840,1,0,Post Graduate,33904957,3353050,1
Kannauj,TIRWA,GEN,KAILASH SINGH RAJPUT,M,GEN,60,BJP,100426,1,1,Graduate,17522002,0,1
Bareilly,NAWABGANJ,GEN,KESAR SINGH,M,GEN,60,BJP,93711,1,0,12th Pass,33200802,1246906,1
Auraiya,DIBIYAPUR,GEN,LAKHAN SINGH,M,GEN,60,BJP,71480,1,0,Graduate,14243269,0,1
Mainpuri,BHONGAON,GEN,RAM NARESH AGNIHOTRI,M,GEN,60,BJP,92697,1,1,Graduate,53953414,5864360,1
Mainpuri,KARHAL,GEN,SOBARAN SINGH YADAV,M,GEN,60,SP,104221,1,0,Graduate,115217236,0,1
Hamirpur,HAMIRPUR,GEN,ASHOK KUMAR SINGH CHANDEL,M,GEN,61,BJP,110888,1,9,Graduate,22109446,6290026,1
Kanpur Nagar,BILHAUR,SC,BHAGWATI PRASAD SAGAR,M,SC,61,BJP,102326,1,0,Graduate,39415991,0,1
Rae Bareli,SALON,SC,DAL BAHADUR,M,SC,61,BJP,78028,1,0,Literate,4187427,204993,1
Amethi,AMETHI,GEN,GARIMA SINGH,F,GEN,61,BJP,64226,1,0,12th Pass,242137763,13278,1
Sambhal,CHANDAUSI,SC,GULAB DEVI,F,SC,61,BJP,104806,1,0,Post Graduate,4097000,2.00E+06,1
Ambedkar Nagar,KATEHARI,GEN,LAL JI VERMA,M,GEN,61,BSP,84358,1,0,Post Graduate,74366220,6515328,1
Shahjahanpur,DADRAUL,GEN,MANVENDRA SINGH,M,GEN,61,BJP,86435,1,0,Graduate,21654660,1868149,1
Allahabad,PRATAPPUR,GEN,MOHD MUJTABA SIDDQUI,M,GEN,61,BSP,66805,1,0,Graduate,34052641,6623552,1
Etawah,JASWANTNAGAR,GEN,SHIVPAL SINGH YADAV,M,GEN,61,SP,126834,1,0,Graduate,93586371,12615114,1
Varanasi,ROHANIYA,GEN,SURENDRA NARAYAN SINGH,M,GEN,61,BJP,119885,1,0,Post Graduate,45018299,0,1
Allahabad,PHAPHAMAU,GEN,VIKRAMAJEET MAURYA,M,GEN,61,BJP,83239,1,0,Graduate,51509909,0,1
Agra,AGRA SOUTH,GEN,YOGENDRA UPADHYAYA,M,GEN,61,BJP,111882,1,7,Post Graduate,18427155,0,1
Varanasi,PINDRA,GEN,AVADHESH SINGH,M,GEN,62,BJP,90614,1,0,Doctorate,27672434,1803653,1
Lalitpur,MEHRONI,SC,MANOHAR LAL,M,SC,62,BJP,159291,1,1,Literate,13823000,737000,1
Rampur,RAMPUR,GEN,MOHAMMAD AZAM KHAN,M,GEN,62,SP,102100,1,1,Graduate,31321262,0,1
Kheri,NIGHASAN,GEN,PATEL RAMKUMAR VERMA,M,GEN,62,BJP,107487,1,1,Graduate,20862306,2994550,1
Mathura,BALDEV,SC,POORAN PRAKASH,M,SC,62,BJP,88411,1,0,Graduate,78202766,1500000,1
Pratapgarh,PATTI,GEN,RAJENDRA PRATAP SINGH ALIAS MOTI,M,GEN,62,BJP,75011,1,0,Graduate,94853871,3094040,1
Ambedkar Nagar,AKBARPUR,GEN,RAM ACHAL RAJBHAR,M,GEN,62,BSP,72325,1,0,Graduate,22055532,0,1
Kushinagar,PADRAUNA,GEN,SWAMI PRASAD MAURYA,M,GEN,62,BJP,93649,1,1,Post Graduate,12780203,0,1
Barabanki,HAIDERGARH,SC,BAIJNATH RAWAT,M,SC,63,BJP,97497,1,1,Post Graduate,12416501,3592204,1
Agra,AGRA CANTT,SC,DR. GIRRAJ SINGH DHARMESH,M,SC,63,BJP,113178,1,2,Graduate,23494000,150000,1
Siddharthnagar,BANSI,GEN,JAI PRATAP SINGH,M,GEN,63,BJP,77548,1,0,Graduate,71864814,0,1
Mathura,GOVERDHAN,GEN,KARINDA SINGH,M,GEN,63,BJP,93538,1,1,Graduate,117761931,3346111,1
Mahoba,MAHOBA,GEN,RAKESH KUMAR GOSWAMI,M,GEN,63,BJP,88291,1,0,Graduate,49213372,0,1
Gorakhpur,KHAJANI,SC,SANT PRASAD,M,SC,63,BJP,71492,1,0,Post Graduate,16265000,180000,1
Meerut,KITHORE,GEN,SATYAVIR TYAGI,M,GEN,63,BJP,90622,1,2,12th Pass,30313852,813960,1
Gorakhpur,SAHAJANWA,GEN,SHEETAL PANDEY,M,GEN,63,BJP,72213,1,0,Graduate,1992406,0,1
Baharaich,PAYAGPUR,GEN,SUBHASH TRIPATHI,M,GEN,63,BJP,102254,1,1,Post Graduate,27955402,6.00E+05,1
Shahjahanpur,SHAHJAHANPUR,GEN,SURESH KUMAR KHANNA,M,GEN,63,BJP,100734,1,0,Graduate,8083249,60000,1
Gautam Buddha Nagar,DADRI,GEN,TEJPAL SINGH NAGAR,M,GEN,63,BJP,141226,1,0,Post Graduate,28999784,918550,1
Sant Ravidas Nagar,GYANPUR,GEN,VIJAY MISHRA,M,GEN,63,OTHERS,66448,1,16,12th Pass,80519726,2239588,1
Bareilly,BHOJIPURA,GEN,BAHORAN LAL MAURYA,M,GEN,64,BJP,100381,1,0,Graduate,7016928,539205,1
Banda,BABERU,GEN,CHANDRAPAL KUSHWAHA,M,GEN,64,BJP,76187,1,0,Graduate,11632865,380000,1
Bareilly,AONLA,GEN,DHARM PAL SINGH,M,GEN,64,BJP,63165,1,1,Post Graduate,13764085,2.00E+06,1
Gorakhpur,GORAKHPUR URBAN,GEN,DR. RADHA MOHAN DAS AGRAWAL,M,GEN,64,BJP,122221,1,0,Post Graduate,31879393,202000,1
Azamgarh,AZAMGARH,GEN,DURGA PRASAD,M,GEN,64,SP,88087,1,0,Graduate,179052962,8801620,1
Sambhal,SAMBHAL,GEN,IQBAL MAHMOOD,M,GEN,64,SP,79248,1,1,Graduate,51734976,0,1
Agra,AGRA NORTH,GEN,JAGAN PRASAD GARG,M,GEN,64,BJP,135120,1,5,Graduate,167804565,114785000,1
Deoria,RAMPUR KARKHANA,GEN,KAMLESH SHUKLA,M,GEN,64,BJP,62886,1,0,Literate,206709607,1328675,1
Jalaun,KALPI,GEN,KU. NARENDRA PAL SINGH,M,GEN,64,BJP,105988,1,1,Graduate,12301736,324567,1
Mathura,CHHATA,GEN,LAXMI NARAYAN,M,GEN,64,BJP,117537,1,0,Post Graduate,62948143,4824007,1
Amroha,AMROHA,GEN,MEHBOOB ALI,M,GEN,64,SP,74713,1,3,12th Pass,48478248,0,1
Siddharthnagar,KAPILVASTU,SC,SHYAM DHANI,M,SC,64,BJP,114082,1,1,Graduate,1576105,252928,1
Deoria,PATHARDEVA,GEN,SURYA PRATAP SHAHI,M,GEN,64,BJP,99812,1,3,Graduate,48969014,234969,1
Fatehpur,BINDKI,GEN,KARAN SINGH PATEL,M,GEN,65,BJP,97996,1,0,Post Graduate,39270562,0,1
Sultanpur,ISAULI,GEN,ABRAR AHMAD,M,GEN,66,SP,51583,1,0,Literate,7097759,9.00E+05,1
Chitrakoot,CHITRAKOOT,GEN,CHANDRIKA PRASAD UPADHYAY,M,GEN,66,BJP,90366,1,1,Post Graduate,20731979,519831,1
Basti,BASTI SADAR,GEN,DAYARAM CHAUDHARY,M,GEN,66,BJP,92697,1,1,12th Pass,36796294,2566889,1
Bareilly,BAREILLY,GEN,DR. ARUN KUMAR,M,GEN,66,BJP,115270,1,0,Graduate,136176941,14609530,1
Agra,KHERAGARH,GEN,MAHESH KUMAR GOYAL,M,GEN,66,BJP,93510,1,0,Post Graduate,3737000,0,1
Moradabad,KUNDARKI,GEN,MOHAMMAD RIZWAN,M,GEN,66,SP,110561,1,2,Graduate,12900000,0,1
Budaun,SAHASWAN,GEN,OMKAR SINGH,M,GEN,66,SP,77543,1,0,Graduate,45812319,0,1
Sultanpur,SULTANPUR,GEN,SURYA BHAN SINGH,M,GEN,66,BJP,86786,1,0,Literate,85026400,2400821,1
Kheri,DHAURAHRA,GEN,AWASTHI BALA PRASAD,M,GEN,67,BJP,79809,1,0,Graduate,22232559,493119,1
Lucknow,LUCKNOW CANTT.,GEN,DR. REETA JOSHI,F,GEN,67,BJP,95402,1,2,Doctorate,21157305,0,1
Jaunpur,MALHANI,GEN,PARAS NATH YADAV,M,GEN,67,SP,69351,1,0,12th Pass,16929196,0,1
Gonda,MANKAPUR,SC,RAMAPATI  SHASTRI,M,SC,67,BJP,102862,1,0,Graduate,28824281,0,1
Mathura,MANT,GEN,SHYAM SUNDER SHARMA,M,GEN,67,BSP,65862,1,0,Post Graduate,59850000,9553000,1
PILIBHIT,BISALPUR,GEN,AGYASH RAM SARAN VERMA,M,GEN,68,BJP,103498,1,7,Graduate,10737600,290000,1
Hardoi,SANDILA,GEN,RAJ KUMAR AGRAWAL URF RAJIA,M,GEN,68,BJP,90362,1,0,Literate,38813226,227234,1
Sultanpur,SADAR,GEN,SITARAM,M,GEN,68,BJP,68950,1,3,Post Graduate,38844262,61693,1
Amroha,NAUGAWAN SADAT,GEN,CHETAN CHAUHAN,M,GEN,69,BJP,97030,1,0,Graduate,67881230,5731416,1
Mau,GHOSI,GEN,FAGU CHAUHAN,M,GEN,69,BJP,88298,1,2,Literate,79519311,0,1
Unnao,BHAGWANTNAGAR,GEN,HRIDAY NARAYAN DIKSHIT,M,GEN,69,BJP,103698,1,0,Post Graduate,17385079,0,1
Baharaich,KAISERGANJ,GEN,MUKUT BIHARI,M,GEN,69,BJP,85212,1,0,Graduate,20588659,0,1
Faizabad,AYODHYA,GEN,VED PRAKASH GUPTA,M,GEN,69,BJP,107014,1,0,Graduate,52999053,2639000,1
Agra,FATEHPUR SIKRI,GEN,CHAU. UDAYBHAN SINGH,M,GEN,70,BJP,108586,1,0,Post Graduate,35756885,459000,1
Azamgarh,MEHNAGAR,SC,KALPNATH PASWAN,M,SC,70,SP,69037,1,0,12th Pass,7373812,0,1
Kanpur Dehat,SIKANDRA,GEN,MATHURA PRASAD PAL,M,GEN,70,BJP,87879,1,0,Literate,20074286,0,1
Ballia,BANSDIH,GEN,RAM GOVIND CHAUDHERI,M,GEN,70,SP,51201,1,0,Graduate,16000107,0,1
Kanpur Nagar,GOVINDNAGAR,GEN,SATYA DEV PACHAURI,M,GEN,70,BJP,112029,1,0,Post Graduate,116952463,27425564,1
Baharaich,BALHA,SC,AKSHAYVARALAL,M,SC,71,BJP,104135,1,0,Literate,36787797,3449826,1
Bulandsahar,BULANDSHAHR,GEN,VIRENDRA SINGH SIROHI,M,GEN,71,BJP,111538,1,1,Graduate,23234044,0,1
Farrukhabad,KAIMGANJ,SC,AMAR SINGH,M,SC,72,BJP,116304,1,0,12th Pass,2277540,0,1
Deoria,DEORIA,GEN,JANMEJAI SINGH,M,GEN,72,BJP,88030,1,0,Literate,100254114,4893289,1
Lucknow,LUCKNOW WEST,GEN,SURESH KUMAR SHRIVASTAV,M,GEN,72,BJP,93022,1,1,Graduate,12648215,0,1
Aligarh,BARAULI,GEN,DALVEER SINGH,M,GEN,73,BJP,125545,1,3,Graduate,59569314,1300000,1
Bareilly,BAREILLY CANTT.,GEN,RAJESH AGARWAL,M,GEN,73,BJP,88441,1,0,Post Graduate,34878384,0,1
Azamgarh,DIDARGANJ,GEN,SUKHDEV RAJBHAR,M,GEN,74,BSP,62125,1,0,Graduate,21104514,0,1
Deoria,BARHAJ,GEN,SURESH TIWARI,M,GEN,76,BJP,61996,1,0,Post Graduate,1543833,555621,1
Meerut,MEERUT CANTT.,GEN,SATYA PRAKASH AGRAWAL,M,GEN,77,BJP,132518,1,1,Illiterate,47671078,2870000,1
Azamgarh,NIZAMABAD,GEN,ALAMBADI,M,GEN,78,SP,67274,1,0,12th Pass,4004435,0,1
Rampur,CHAMRAUA,GEN,NASEER AHMAD KHAN,M,GEN,79,SP,87400,1,0,Post Graduate,35128461,0,1
Kushinagar,FAZILNAGAR,GEN,GANGA,M,GEN,80,BJP,102778,1,0,Post Graduate,8167000,1349000,1
Mau,GHOSI,GEN,ABBAS ANSARI,M,GEN,25,BSP,81295,2,0,12th Pass,44176635,0,0
Unnao,BHAGWANTNAGAR,GEN,SHASHANK SHEKHAR SINGH,M,GEN,25,BSP,50332,2,0,Graduate,13936894,2207207,0
Mathura,CHHATA,GEN,ATUL SINGH,M,GEN,27,OTHERS,53699,2,0,Graduate,41675983,35027325,0
Rae Bareli,HARCHANDPUR,GEN,KANCHAN LODHI,F,GEN,27,BJP,61452,2,0,Post Graduate,17701500,0,0
Deoria,BARHAJ,GEN,MURLI MANOHAR JAISWAL,M,GEN,27,BSP,50280,2,2,Graduate,17348360,2400000,0
Lucknow,LUCKNOW CANTT.,GEN,APARNA YADAV,F,GEN,28,SP,61606,2,0,Post Graduate,229659126,81566542,0
Muzaffarnagar,KHATAULI,GEN,CHANDAN SINGH CHAUHAN,M,GEN,28,SP,63397,2,0,Graduate,31031100,1436492,0
Sonbhadra,OBRA (ST),ST,RAVI GOND,M,ST,28,SP,33789,2,0,Post Graduate,1850920,468665,0
Pratapgarh,RAMPUR KHAS,GEN,NAGESH PRATAP SINGH URF CHHOTE SARKAR,M,GEN,29,BJP,64397,2,5,Graduate,2208339,178405,0
Allahabad,ALLAHABAD WEST,GEN,RICHA SINGH,F,GEN,29,SP,60182,2,0,Post Graduate,1307557,0,0
Rampur,SUAR,GEN,LAXMI SAINI,F,GEN,30,BJP,53347,2,0,Post Graduate,5180105,85000,0
Jalaun,ORAI,SC,MAHENDRA SINGH,M,SC,30,SP,61606,2,0,Post Graduate,34880813,1020000,0
Lucknow,MALIHABAD,SC,RAJBALA,F,SC,31,SP,72009,2,2,Literate,3576918,0,0
Rae Bareli,UNCHAHAR,GEN,UTKRIST MAURYA,M,GEN,31,BJP,57169,2,1,Graduate,24713776,1305677,0
Banda,NARAINI,SC,BHARATLAL,M,SC,32,INC,47405,2,0,Post Graduate,5704416,37615,0
Farrukhabad,KAIMGANJ,SC,DR. SURABHI,F,SC,32,SP,79779,2,0,Graduate,58680500,3500000,0
Etawah,BHARTHANA,SC,KAMLESH KUMAR KATHERIA,M,SC,32,SP,80037,2,0,Graduate,5494471,0,0
Gorakhpur,GORAKHPUR URBAN,GEN,RANA RAHUL SINGH,M,GEN,32,INC,61491,2,0,Graduate,1325982,0,0
